,Postcode,Borough,Neighbourhood
0,Adelaide ,M5H,"Downtown Toronto,Downtown Toronto"
1,Agincourt ,M1S,"Scarborough,Scarborough"
2,Agincourt North ,M1V,"Scarborough,Scarborough"
3,Albion Gardens ,M9V,"Etobicoke,Etobicoke"
4,Alderwood ,M8W,"Etobicoke,Etobicoke"
5,Bathurst Manor ,M3H,"North York,North York"
6,Bathurst Quay ,M5V,"Downtown Toronto,Downtown Toronto"
7,Bayview Village ,M2K,"North York,North York"
8,Beaumond Heights ,M9V,"Etobicoke,Etobicoke"
9,Bedford Park ,M5M,"North York,North York"
10,Berczy Park ,M5E,"Downtown Toronto,Downtown Toronto"
11,Birch Cliff ,M1N,"Scarborough,Scarborough"
12,Bloordale Gardens ,M9C,"Etobicoke,Etobicoke"
13,Brockton ,M6K,"West Toronto,West Toronto"
14,Business Reply Mail Processing Centre 969 Eastern ,M7Y,"East Toronto,East Toronto"
15,CFB Toronto ,M3K,"North York,North York"
16,CN Tower ,M5V,"Downtown Toronto,Downtown Toronto"
17,Cabbagetown ,M4X,"Downtown Toronto,Downtown Toronto"
18,Caledonia-Fairbanks ,M6E,"York,York"
19,Canada Post Gateway Processing Centre ,M7R,"Mississauga,Mississauga"
20,Cedarbrae ,M1H,"Scarborough,Scarborough"
21,Central Bay Street ,M5G,"Downtown Toronto,Downtown Toronto"
22,Chinatown ,M5T,"Downtown Toronto,Downtown Toronto"
23,Christie ,M6G,"Downtown Toronto,Downtown Toronto"
24,Church and Wellesley ,M4Y,"Downtown Toronto,Downtown Toronto"
25,Clairlea ,M1L,"Scarborough,Scarborough"
26,Clarks Corners ,M1T,"Scarborough,Scarborough"
27,Cliffcrest ,M1M,"Scarborough,Scarborough"
28,Cliffside ,M1M,"Scarborough,Scarborough"
29,Cliffside West ,M1N,"Scarborough,Scarborough"
30,Cloverdale ,M9B,"Etobicoke,Etobicoke"
31,Commerce Court ,M5L,"Downtown Toronto,Downtown Toronto"
32,Davisville ,M4S,"Central Toronto,Central Toronto"
33,Davisville North ,M4P,"Central Toronto,Central Toronto"
34,Deer Park ,M4V,"Central Toronto,Central Toronto"
35,Del Ray ,M6M,"York,York"
36,Design Exchange ,M5K,"Downtown Toronto,Downtown Toronto"
37,Don Mills North ,M3B,"North York,North York"
38,Don Mills South ,M3C,"North York,North York"
39,Dorset Park ,M1P,"Scarborough,Scarborough"
40,Dovercourt Village ,M6H,"West Toronto,West Toronto"
